image,text,clean_text,dataset,is_total_line,price,date
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469612.jpg,tan woon yann,tan woon yann,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469612.jpg,BOOK TA.K (TAMAN DAYA) SDN BHD,book ta.k taman daya sdn bhd,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469612.jpg,789417-W,789417w,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469612.jpg,"NO.5: 55,57 & 59, JALAN SAGU 18,",no.5: 5557  59 jalan sagu 18,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469612.jpg,"TAMAN DAYA,",taman daya,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469612.jpg,"81100 JOHOR BAHRU,",81100 johor bahru,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469612.jpg,JOHOR.,johor.,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469612.jpg,Document No :TD01167104,document no :td01167104,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469612.jpg,Date :,date :,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469612.jpg,25/12/2018 8:13:39 PM,25/12/2018 8:13:39 pm,sroie,False,,25/12/2018
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469612.jpg,Cashier:,cashier:,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469612.jpg,MANIS,manis,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469612.jpg,Member:,member:,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469612.jpg,CASH BILL,cash bill,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469612.jpg,CODE/DESC,code/desc,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469612.jpg,PRICE,price,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469612.jpg,Disc,disc,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469612.jpg,AMOUNT,amount,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469612.jpg,QTY,qty,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469612.jpg,RM,rm,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469612.jpg,RM,rm,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469612.jpg,9556939040118,9556939040118,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469612.jpg,KF MODELLING CLAY KIDDY FISH,kf modelling clay kiddy fish,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469612.jpg,1 PC,1 pc,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469612.jpg,*,,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469612.jpg,9.000,9.000,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469612.jpg,0.00,0.00,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469612.jpg,9.00,9.00,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469612.jpg,Total :,total :,sroie,True,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469612.jpg,9.00,9.00,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469612.jpg,Rour ding Adjustment:,rour ding adjustment:,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469612.jpg,0.00,0.00,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469612.jpg,Round d Total (RM):,round d total rm:,sroie,True,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469612.jpg,9.00,9.00,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469612.jpg,Cash,cash,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469612.jpg,10.00,10.00,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469612.jpg,CHANGE,change,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469612.jpg,GOODS SOLD ARE NOT RETURNABLE OR,goods sold are not returnable or,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469612.jpg,EXCHANGEABLE,exchangeable,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469612.jpg,9 atrl AMBabatein,9 atrl ambabatein,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469612.jpg,"onAT1P, 6IAPIRC NIWI",onat1p 6iapirc niwi,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469612.jpg,THANK YOU,thank you,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469612.jpg,PLEASE COM'E AGAIN !,please come again ,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469619.jpg,tan woon yann,tan woon yann,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469619.jpg,IndaH gift & Home DeCo,indah gift  home deco,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469619.jpg,"27,JALAN DEDAP 13,",27jalan dedap 13,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469619.jpg,"TAMAN JoHOrR JAYA,",taman johorr jaya,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469619.jpg,"81100 JOhoR BahRU, JohOr.",81100 johor bahru johor.,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469619.jpg,Tel:07-3507405 Fax:07-3558160,tel:073507405 fax:073558160,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469619.jpg,RECEIPT,receipt,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469619.jpg,19/10/2018 20:49:59 #01,19/10/2018 20:49:59 01,sroie,False,,19/10/2018
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469619.jpg,Cashier: CN,cashier: cn,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469619.jpg,Location/SP: 05,location/sp: 05,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469619.jpg,/0531,/0531,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469619.jpg,MB: M026588,mb: m026588,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469619.jpg,Room No: 01,room no: 01,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469619.jpg,050100035279,050100035279,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469619.jpg,Desc/Item,desc/item,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469619.jpg,Qty,qty,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469619.jpg,Price,price,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469619.jpg,Amt(RM),amtrm,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469619.jpg,ST-PRIVILEGE CARD/GD INDAH,stprivilege card/gd indah,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469619.jpg,88888,88888,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469619.jpg,1,1,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469619.jpg,10.00,10.00,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469619.jpg,10.00,10.00,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469619.jpg,GF-TABLE LAMP/STITCH <i)>,gftable lamp/stitch i,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469619.jpg,62483,62483,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469619.jpg,1,1,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469619.jpg,55.90,55.90,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469619.jpg,55.90,55.90,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469619.jpg,CDISC,cdisc,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469619.jpg,10.00%,10.00,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469619.jpg,-5.59,5.59,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469619.jpg,#Total Qty,total qty,sroie,True,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469619.jpg,2,2,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469619.jpg,TOTALMT..........RM,totalmt..........rm,sroie,True,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469619.jpg,60.31,60.31,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469619.jpg,ROUNDING ADJ............,rounding adj............,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469619.jpg,-0.01,0.01,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469619.jpg,RH,rh,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469619.jpg,60.30,60.30,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469619.jpg,CASH....RM,cash....rm,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469619.jpg,70.30,70.30,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469619.jpg,CHANGE..............RM,change..............rm,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469619.jpg,10.00,10.00,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469619.jpg,Thank You ! Please Come Again !,thank you  please come again ,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469619.jpg,Goods Sold Are Not Returnable,goods sold are not returnable,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469619.jpg,Dealing In Wholesale And Retail.,dealing in wholesale and retail.,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469620.jpg,tan woon yann,tan woon yann,sroie,False,,
